,name,location,open_times,amenities,phone,website,rating,url
183,Amazonia Restaurant,Abuja Photos,N/A,N/A,N/A,"https://maps.apple.com/maps?saddr=&daddr=7 Hombari St., Abuja 900288 Nigeria@9.076355,7.487427",4.04 of 5 bubbles(2 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23566837-Reviews-Amazonia_Restaurant-Abuja_Federal_Capital_Territory.html
184,La siesta restaurant and bar,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=27 agenebode crec area 11 FMG park, Abuja 900103 Nigeria@9.036578,7.503698",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d27157780-Reviews-La_siesta_restaurant_and_bar-Abuja_Federal_Capital_Territory.html
185,Uncle T's,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=51 Alex Ekwueme way Jabi, Abuja Nigeria@9.07565,7.416466",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d26832324-Reviews-Uncle_T_s-Abuja_Federal_Capital_Territory.html
186,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d25352251-Reviews-District_Restaurant_And_Lounge-Abuja_Federal_Capital_Territory.html
187,Seaside Restaurant,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=46 Euphrates Crescent, Abuja Nigeria@8.804441,7.198126",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d27506561-Reviews-Seaside_Restaurant-Abuja_Federal_Capital_Territory.html
188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d21376407-Reviews-Drinksworld_ng-Abuja_Federal_Capital_Territory.html
189,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d20306188-Reviews-The_Yellow_Plate-Abuja_Federal_Capital_Territory.html
190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d21008843-Reviews-Crush_Cafe_Gwarimpa-Abuja_Federal_Capital_Territory.html
191,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d23546595-Reviews-Salt_N_Pepper_Resturant_And_Takeaway-Abuja_Federal_Capital_Territory.html
192,Roofgrill & Bar,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=15 Alex Ekwueme Road Opp. Jabi, Abuja 000001 Nigeria@9.07905,7.4169",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d16853153-Reviews-Roofgrill_Bar-Abuja_Federal_Capital_Territory.html
