,name,location,open_times,amenities,phone,website,rating,url
243,Grand Restaurant at GRAND PELA HOTEL & SUITES,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=Plot 649 Cadastral Zone Durumi F.C.T, Abuja 900104 Nigeria@9.026859,7.459511",1.01 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d24011174-Reviews-Grand_Restaurant_at_GRAND_PELA_HOTEL_SUITES-Abuja_Federal_Capital_Territory.html
244,Amazing Best Shawarma & Grills Ltd,Abuja Photos,N/A,N/A,N/A,"https://maps.apple.com/maps?saddr=&daddr=Plot 551 Abdulsalam Abubakar Road Before Prince Ebeano Supermarket, Abuja 900231 Nigeria@8.804441,7.198126",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23106932-Reviews-Amazing_Best_Shawarma_Grills_Ltd-Abuja_Federal_Capital_Territory.html
245,Canes & Lemons Restaurant,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=7 Hombori, Abuja Nigeria@9.078749,7.470186",3.03 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d26872020-Reviews-Canes_Lemons_Restaurant-Abuja_Federal_Capital_Territory.html
246,"Bronz Cafe Gwarinpa, Abuja, Nigeria",Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=69 Road, Gwarinpa Estate Address: Big Ideas mall, plot 869, 69 Road, off 6th avenue. Gwarinpa Estate, Abuja., Abuja 900003 Nigeria",5.05 of 5 bubbles(2 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d15684872-Reviews-Bronz_Cafe_Gwarinpa_Abuja_Nigeria-Abuja_Federal_Capital_Territory.html
247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d23328349-Reviews-Hustle_and_Bustle-Abuja_Federal_Capital_Territory.html
248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d27749479-Reviews-Astro_Diner_Takeaway-Abuja_Federal_Capital_Territory.html
249,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d27141648-Reviews-Bull_And_Gate-Abuja_Federal_Capital_Territory.html
250,Silk Road Restaurant Abuja,Abuja Photos,"I visited Silk Road Restaurant for the very first time when my family and friends held a surprise 40th birthday party for me here about 3 years ago. You can read my TripAdvisor review of that lovely experience. On this trip to Abuja, I was fortunate to visit Silk Road on 2 seperate occasions- one with my husband, and one with my family to celebrate a nephew's graduation from secondary (high) school. I confused Silk Road Restaurant with 'Sinoni' Restaurant for a long time. This is because Silk Road happens to be located inside 'Sinoki' House, often referred to as Sinoki Building, so whenever you mention Sinoni- (a seperate, stand alone restaurant), it's mixed up with Silk Road Restaurant. I won't make that mistake again! Especially given the fact that I visited Sinoni Chinese Restaurant too. 

Sinoki House is a large building located in Abuja's Central Business District. Silk Road is located inside Sinoki- on the 5th floor, and the other floors appear to be office spaces. Sinoki House was unveiled and officially commissioned by the former First Lady of Nigeria, Mrs. Aisha Muhammad Buhari and former Nigerian Football Superstar, Daniel Amokachi on Saturday, 15th of December, 2018. There's a plethora of pictures and mementos of the event in and around the Sinoki Building. The decor of Silk Road has a casual and simplistic Asian vibe with attractive wooden accents, comfortable chairs covered in red, and a white & brown table spread. 

Silk Road has great, sprawling views of Abuja Metropolis, (refer to my posted photos). They have lots of private dining rooms. I had my surprise birthday party in one of those rooms, and on the visit with my family, we dined in the Shanghai Room, then with my husband, we sat in the main restaurant. Silk Road Restaurant has an extensive menu with many Chinese Classics and Favorites, including 'Claypot' options. I appreciated the fact that their menu came on/in an iPad, and they also had a hard copy menu, as opposed to accessing it via that pesky Q.R Code format, which is so annoying to me. 

On the first visit to Silk Road, my husband and I ordered the BUTTERFLY KING PRAWN CUTLETS and DEEP FRIED PRAWN SPRING ROLLS for our Starters. He got the CREAM SEAFOOD SOUP. For our Main Course, it was the FRIED PRAWNS WITH SWEET & SOUR SAUCE, STIR-FRIED YELLOW CATTLE MEAT and a SPECIAL FRIED RICE. I got the CHAPMAN for my drink. Everything tasted absolutely phenomenal, so authentic and packed full of all those wonderful flavours we know and love about Chinese Food. It's without a doubt our favourite cuisine.....by far! 😋

On the second visit, (with my extended family), we ordered the following soups: SWEET CORN SOUP WITH MINCED CHICKEN, HOT & SOUR SOUP (PEKING), SHREDDED CHICKEN WITH CRABMEAT SOUP and SEAFOOD SOUP WITH BEAN CURD; the latter being mine. For our Appetisers, we got BUTTERFLY KING PRAWNS CUTLET and DEEP FRIED PRAWN SPRING ROLLS, one per person. Those seem to be quite popular items at Silk Road! 😄 For the Mains, it was multiple plates of FRIED PRAWNS ON HOT PLATE, FRIED CHICKEN WITH SWEET & SOUR SAUCE, SHREDDED BEEF WITH GREEN PEPPER, FRIED SLICED BEEF WITH SPRING ONIONS ON HOT PLATE, FRIED CROAKER FISH FILLET IN CHILLI SAUCE, then several plates of FRIED NOODLES WITH ASSORTED VEGETABLES, SPECIAL FRIED RICE and FRIED SINGAPORE RICE NOODLES. We were a party of 13, hence the copious amount of food. The food was served with large glass pitchers of CHAPMAN. 

Unsurprisingly, our food was just as delicious as ever, like my maiden, as well as my second visit. Silk Road Restaurant has really 'got it going on' in the taste department! 😋 👏🏼 The only criticism I/we had about the food was our soup(s) tasted flat and underseasoned. My adult daughter described it as 'not well developed'! 😄 I also noticed a bunch of holes on the white table linen- (check my posted photo of one). The toilet adjoined to the 'Shanghai' Private Dining Room wasn't very clean and well-maintained. I'd also like to call their attention to the Karaoke Machine in the Shanghai Room. It wasn't working properly and had quite a limited selection of songs, most notably Micheal Jackson songs and videos, plus a few of Beyonce Knowles. Microphone kept making a screeching, ear piercing sound! 🙉

Service at Silk Road was overall okay, though I didn't get the name of any waiter because they weren't wearing name tags. I found the prices at Silk Road exorbitantly high! On our second visit- (even though there were over a dozen of us), the bill came out to over half a million Naira! 😵 This is roughly about 700 Dollars or 680 Euros!😫 The surcharge, (perhaps service charge) came out to about 50 thousand Naira, and what looked like an additional 7.50% tax fee. I know the food was good, but was it really 'that good'?!?! 🤔 I'm not so sure that these outrageous prices are justified, but that's just me! 🤷🏾‍♀️ It's a good thing I didn't pick up the tab on all 3 occasions! 😆 Nevertheless, Silk Road Restaurant ranks as my favourite Chinese Restaurant in Abuja, based on my 'trio' of 'varied/unique' experiences here. 

The food here is quite amazing, and I can think of only one other restaurant- (in Maitama), that can hold a 'slight' candle to Silk Road, and I can unequivocally say that it's just not as good what is served here. I kindly urge them to fix their Karaoke Machine, because it would have significantly added to the fun, memorable experience I had when we dined here as a family. The toilet in 'Shanghai' should be refurbished, or at the barest minimum- cleaned up. Silk Road is home to some hearty, wholesome, and simply delicious Chinese Food that everyone should endeavour to visit when in Abuja. Trust me, you won't regret it! Keep up the great job Silk Road! 😉 Highly, highly, highly recommended!!! 👏🏼👍🏽👏🏼👍🏽",N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Plot 770 Off Samuel Ademulegun Avenue Sinoki House, Opp Federal Ministry Of Transport, Central Business District, Abuja 234009 Nigeria@9.05706,7.4826",4.24.2 of 5 bubbles(18 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d15817119-Reviews-Silk_Road_Restaurant_Abuja-Abuja_Federal_Capital_Territory.html
251,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d27431094-Reviews-Breadish-Abuja_Federal_Capital_Territory.html
252,The shark express,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=15 Third Avenue Gwarinpa, Abuja Nigeria@9.097157,7.412457",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d21403077-Reviews-The_shark_express-Abuja_Federal_Capital_Territory.html
253,Ashake Kitchen,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=Area 3 Beside Total Filling Station, Abuja 900211 Nigeria@9.03818,7.46528",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d19713965-Reviews-Ashake_Kitchen-Abuja_Federal_Capital_Territory.html
254,The Avenue,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=27 Alexandria Crescent Wuse, Abuja Nigeria@9.082815,7.466215",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d31010542-Reviews-The_Avenue-Abuja_Federal_Capital_Territory.html
255,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d23314166-Reviews-Eden_By_Wingsit-Abuja_Federal_Capital_Territory.html
256,Dodo Pizza Apo Mall,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Along Murtala Mohammed Express Way, Abuja 900110 Nigeria@9.05785,7.49508",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d33011538-Reviews-Dodo_Pizza_Apo_Mall-Abuja_Federal_Capital_Territory.html
257,Rouge royale,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=41a Libreville street, Abuja 905102 Nigeria@9.05792,7.46298",4.54.5 of 5 bubbles(2 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d4753940-Reviews-Rouge_royale-Abuja_Federal_Capital_Territory.html
258,Brook Lounge by West Brook,Abuja Photos,N/A,N/A,N/A,"https://maps.google.com/maps?saddr=&daddr=Plot 269 Muhammad I, Mohammadu Buhari Way, Abuja 234 Nigeria@9.074571,7.495379",4.04 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d23605060-Reviews-Brook_Lounge_by_West_Brook-Abuja_Federal_Capital_Territory.html
259,Lightout Restaurant,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=168,aminu Kano Crescent, Wuse2, Abuja 900211 Nigeria@9.080399,7.477506",5.05 of 5 bubbles(10 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23705466-Reviews-Lightout_Restaurant-Abuja_Federal_Capital_Territory.html
260,Hootas Restaurant. Lounge & Event Centre,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=No 16 Bangui Street Off Ademola Adetokunbo Crescent, Wuse 2, Abuja Nigeria@9.06882,7.48064",5.05 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d15007665-Reviews-Hootas_Restaurant_Lounge_Event_Centre-Abuja_Federal_Capital_Territory.html
261,Belleti's Cuisine,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=No. 28 Agadez Crescent, Wuse 2, Abuja 900288 Nigeria@9.071571,7.471265",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23675768-Reviews-Belleti_s_Cuisine-Abuja_Federal_Capital_Territory.html
262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d13783974-Reviews-Maison_The_Cafe-Abuja_Federal_Capital_Territory.html
263,Dunes Continental Restaurant,Abuja Photos,N/A,N/A,N/A,"https://maps.apple.com/maps?saddr=&daddr=N44 Aguiyi Ironsi Way, Abuja 900271 Nigeria@9.08396,7.48526",4.04 of 5 bubbles(27 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d4288088-Reviews-Dunes_Continental_Restaurant-Abuja_Federal_Capital_Territory.html
264,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d23175939-Reviews-Mcdowals_Figaro_s-Abuja_Federal_Capital_Territory.html
265,Kooks Bistro,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Aminu Kano Cres., Abuja 900281 Nigeria@9.07277,7.46802",4.34.3 of 5 bubbles(4 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d13631279-Reviews-Kooks_Bistro-Abuja_Federal_Capital_Territory.html
266,Guava Cocktail & Tapas Bar,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=137 Adetokunbo Ademola Crescent Wuse 2, Abuja 900281 Nigeria@8.83333,7.16667",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d32879409-Reviews-Guava_Cocktail_Tapas_Bar-Abuja_Federal_Capital_Territory.html
267,Caesars' Restaurant,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=10 Nile St. Maitama District, Abuja 900271 Nigeria@9.09526,7.4815",4.04 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d16824707-Reviews-Caesars_Restaurant-Abuja_Federal_Capital_Territory.html
268,Ari's Place,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=17 Aminu kano Wuse II, Abuja 990222 Nigeria@9.08405,7.47044",4.04 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d15676163-Reviews-Ari_s_Place-Abuja_Federal_Capital_Territory.html
